date,label,action,units,price,purchase_date,term,realized_gain,tax_due
2025-11-01,large_cap,SELL,23.885908543131503,125.05,2023-01-01,LT,1185.4576409956164,0.0
2025-11-01,small_cap,SELL,12.43792942898024,125.15,2023-01-01,LT,665.3048451561532,0.0
2025-11-01,balanced_adv,SELL,0.9784328390927074,575.042,2023-01-01,LT,223.77541776321496,27.97192722040187
2025-11-01,gold,SELL,9.720299902993226,36.9471,2023-01-01,LT,191.48893605897624,23.93611700737203
2025-11-01,flexi_cap,BUY,4.884640771087314,94.4065,2025-11-01,,0.0,0.0
2025-11-01,corp_bond,BUY,145.7054718218521,33.9882,2025-11-01,,0.0,0.0
2025-12-01,gold,SELL,234.9904294712397,39.4866,2023-01-01,LT,5226.046157182689,653.2557696478361
2025-12-01,large_cap,SELL,29.184657170106373,127.77,2023-01-01,LT,1527.8168028550685,0.0
2025-12-01,flexi_cap,BUY,23.602596938280886,94.9398,2025-12-01,,0.0,0.0
2025-12-01,small_cap,BUY,54.466235691050024,123.19,2025-12-01,,0.0,0.0
2025-12-01,corp_bond,BUY,76.65309253425183,34.144,2025-12-01,,0.0,0.0
2025-12-01,balanced_adv,BUY,1.3578516176240636,579.501,2025-12-01,,0.0,0.0
